x,y,prim,raw
26,169,LUT,SLICE_X26Y169
27,169,LUT,SLICE_X27Y169
30,169,LUT,SLICE_X30Y169
32,169,LUT,SLICE_X32Y169
33,169,LUT,SLICE_X33Y169
35,169,LUT,SLICE_X35Y169
36,169,LUT,SLICE_X36Y169
38,169,LUT,SLICE_X38Y169
41,169,LUT,SLICE_X41Y169
44,169,LUT,SLICE_X44Y169
46,169,LUT,SLICE_X46Y169
47,169,LUT,SLICE_X47Y169
0,168,LUT,SLICE_X0Y168
2,168,LUT,SLICE_X2Y168
3,168,LUT,SLICE_X3Y168
6,168,LUT,SLICE_X6Y168
7,168,LUT,SLICE_X7Y168
8,168,LUT,SLICE_X8Y168
10,168,LUT,SLICE_X10Y168
11,168,LUT,SLICE_X11Y168
12,168,LUT,SLICE_X12Y168
13,168,LUT,SLICE_X13Y168
15,168,LUT,SLICE_X15Y168
17,168,LUT,SLICE_X17Y168
18,168,LUT,SLICE_X18Y168
21,168,LUT,SLICE_X21Y168
22,168,LUT,SLICE_X22Y168
23,168,LUT,SLICE_X23Y168
25,168,LUT,SLICE_X25Y168
26,168,LUT,SLICE_X26Y168
27,168,LUT,SLICE_X27Y168
30,168,LUT,SLICE_X30Y168
32,168,LUT,SLICE_X32Y168
33,168,LUT,SLICE_X33Y168
35,168,LUT,SLICE_X35Y168
36,168,LUT,SLICE_X36Y168
38,168,LUT,SLICE_X38Y168
41,168,LUT,SLICE_X41Y168
44,168,LUT,SLICE_X44Y168
46,168,LUT,SLICE_X46Y168
47,168,LUT,SLICE_X47Y168
0,167,LUT,SLICE_X0Y167
2,167,LUT,SLICE_X2Y167
3,167,LUT,SLICE_X3Y167
6,167,LUT,SLICE_X6Y167
7,167,LUT,SLICE_X7Y167
8,167,LUT,SLICE_X8Y167
10,167,LUT,SLICE_X10Y167
11,167,LUT,SLICE_X11Y167
12,167,LUT,SLICE_X12Y167
13,167,LUT,SLICE_X13Y167
15,167,LUT,SLICE_X15Y167
17,167,LUT,SLICE_X17Y167
18,167,LUT,SLICE_X18Y167
21,167,LUT,SLICE_X21Y167
22,167,LUT,SLICE_X22Y167
23,167,LUT,SLICE_X23Y167
25,167,LUT,SLICE_X25Y167
26,167,LUT,SLICE_X26Y167
27,167,LUT,SLICE_X27Y167
30,167,LUT,SLICE_X30Y167
32,167,LUT,SLICE_X32Y167
33,167,LUT,SLICE_X33Y167
35,167,LUT,SLICE_X35Y167
36,167,LUT,SLICE_X36Y167
38,167,LUT,SLICE_X38Y167
41,167,LUT,SLICE_X41Y167
44,167,LUT,SLICE_X44Y167
46,167,LUT,SLICE_X46Y167
47,167,LUT,SLICE_X47Y167
0,166,LUT,SLICE_X0Y166
2,166,LUT,SLICE_X2Y166
3,166,LUT,SLICE_X3Y166
6,166,LUT,SLICE_X6Y166
7,166,LUT,SLICE_X7Y166
8,166,LUT,SLICE_X8Y166
10,166,LUT,SLICE_X10Y166
11,166,LUT,SLICE_X11Y166
12,166,LUT,SLICE_X12Y166
13,166,LUT,SLICE_X13Y166
15,166,LUT,SLICE_X15Y166
17,166,LUT,SLICE_X17Y166
18,166,LUT,SLICE_X18Y166
21,166,LUT,SLICE_X21Y166
22,166,LUT,SLICE_X22Y166
23,166,LUT,SLICE_X23Y166
25,166,LUT,SLICE_X25Y166
26,166,LUT,SLICE_X26Y166
27,166,LUT,SLICE_X27Y166
30,166,LUT,SLICE_X30Y166
32,166,LUT,SLICE_X32Y166
33,166,LUT,SLICE_X33Y166
35,166,LUT,SLICE_X35Y166
36,166,LUT,SLICE_X36Y166
38,166,LUT,SLICE_X38Y166
41,166,LUT,SLICE_X41Y166
44,166,LUT,SLICE_X44Y166
46,166,LUT,SLICE_X46Y166
47,166,LUT,SLICE_X47Y166
0,165,LUT,SLICE_X0Y165
2,165,LUT,SLICE_X2Y165
3,165,LUT,SLICE_X3Y165
6,165,LUT,SLICE_X6Y165
7,165,LUT,SLICE_X7Y165
8,165,LUT,SLICE_X8Y165
10,165,LUT,SLICE_X10Y165
11,165,LUT,SLICE_X11Y165
12,165,LUT,SLICE_X12Y165
13,165,LUT,SLICE_X13Y165
15,165,LUT,SLICE_X15Y165
17,165,LUT,SLICE_X17Y165
18,165,LUT,SLICE_X18Y165
21,165,LUT,SLICE_X21Y165
22,165,LUT,SLICE_X22Y165
23,165,LUT,SLICE_X23Y165
25,165,LUT,SLICE_X25Y165
26,165,LUT,SLICE_X26Y165
27,165,LUT,SLICE_X27Y165
30,165,LUT,SLICE_X30Y165
32,165,LUT,SLICE_X32Y165
33,165,LUT,SLICE_X33Y165
35,165,LUT,SLICE_X35Y165
36,165,LUT,SLICE_X36Y165
38,165,LUT,SLICE_X38Y165
41,165,LUT,SLICE_X41Y165
44,165,LUT,SLICE_X44Y165
46,165,LUT,SLICE_X46Y165
47,165,LUT,SLICE_X47Y165
0,164,LUT,SLICE_X0Y164
2,164,LUT,SLICE_X2Y164
3,164,LUT,SLICE_X3Y164
6,164,LUT,SLICE_X6Y164
7,164,LUT,SLICE_X7Y164
8,164,LUT,SLICE_X8Y164
10,164,LUT,SLICE_X10Y164
11,164,LUT,SLICE_X11Y164
12,164,LUT,SLICE_X12Y164
13,164,LUT,SLICE_X13Y164
15,164,LUT,SLICE_X15Y164
17,164,LUT,SLICE_X17Y164
18,164,LUT,SLICE_X18Y164
21,164,LUT,SLICE_X21Y164
22,164,LUT,SLICE_X22Y164
23,164,LUT,SLICE_X23Y164
25,164,LUT,SLICE_X25Y164
26,164,LUT,SLICE_X26Y164
27,164,LUT,SLICE_X27Y164
30,164,LUT,SLICE_X30Y164
32,164,LUT,SLICE_X32Y164
33,164,LUT,SLICE_X33Y164
35,164,LUT,SLICE_X35Y164
36,164,LUT,SLICE_X36Y164
38,164,LUT,SLICE_X38Y164
41,164,LUT,SLICE_X41Y164
44,164,LUT,SLICE_X44Y164
46,164,LUT,SLICE_X46Y164
47,164,LUT,SLICE_X47Y164
0,163,LUT,SLICE_X0Y163
2,163,LUT,SLICE_X2Y163
3,163,LUT,SLICE_X3Y163
6,163,LUT,SLICE_X6Y163
7,163,LUT,SLICE_X7Y163
8,163,LUT,SLICE_X8Y163
10,163,LUT,SLICE_X10Y163
11,163,LUT,SLICE_X11Y163
12,163,LUT,SLICE_X12Y163
13,163,LUT,SLICE_X13Y163
15,163,LUT,SLICE_X15Y163
17,163,LUT,SLICE_X17Y163
18,163,LUT,SLICE_X18Y163
21,163,LUT,SLICE_X21Y163
22,163,LUT,SLICE_X22Y163
23,163,LUT,SLICE_X23Y163
25,163,LUT,SLICE_X25Y163
26,163,LUT,SLICE_X26Y163
27,163,LUT,SLICE_X27Y163
30,163,LUT,SLICE_X30Y163
32,163,LUT,SLICE_X32Y163
33,163,LUT,SLICE_X33Y163
35,163,LUT,SLICE_X35Y163
36,163,LUT,SLICE_X36Y163
38,163,LUT,SLICE_X38Y163
41,163,LUT,SLICE_X41Y163
44,163,LUT,SLICE_X44Y163
46,163,LUT,SLICE_X46Y163
47,163,LUT,SLICE_X47Y163
0,162,LUT,SLICE_X0Y162
2,162,LUT,SLICE_X2Y162
3,162,LUT,SLICE_X3Y162
6,162,LUT,SLICE_X6Y162
7,162,LUT,SLICE_X7Y162
8,162,LUT,SLICE_X8Y162
10,162,LUT,SLICE_X10Y162
11,162,LUT,SLICE_X11Y162
12,162,LUT,SLICE_X12Y162
13,162,LUT,SLICE_X13Y162
15,162,LUT,SLICE_X15Y162
17,162,LUT,SLICE_X17Y162
18,162,LUT,SLICE_X18Y162
21,162,LUT,SLICE_X21Y162
22,162,LUT,SLICE_X22Y162
23,162,LUT,SLICE_X23Y162
25,162,LUT,SLICE_X25Y162
26,162,LUT,SLICE_X26Y162
27,162,LUT,SLICE_X27Y162
30,162,LUT,SLICE_X30Y162
32,162,LUT,SLICE_X32Y162
33,162,LUT,SLICE_X33Y162
35,162,LUT,SLICE_X35Y162
36,162,LUT,SLICE_X36Y162
38,162,LUT,SLICE_X38Y162
41,162,LUT,SLICE_X41Y162
44,162,LUT,SLICE_X44Y162
46,162,LUT,SLICE_X46Y162
47,162,LUT,SLICE_X47Y162
0,161,LUT,SLICE_X0Y161
2,161,LUT,SLICE_X2Y161
3,161,LUT,SLICE_X3Y161
6,161,LUT,SLICE_X6Y161
7,161,LUT,SLICE_X7Y161
8,161,LUT,SLICE_X8Y161
10,161,LUT,SLICE_X10Y161
11,161,LUT,SLICE_X11Y161
12,161,LUT,SLICE_X12Y161
13,161,LUT,SLICE_X13Y161
15,161,LUT,SLICE_X15Y161
17,161,LUT,SLICE_X17Y161
18,161,LUT,SLICE_X18Y161
21,161,LUT,SLICE_X21Y161
22,161,LUT,SLICE_X22Y161
23,161,LUT,SLICE_X23Y161
25,161,LUT,SLICE_X25Y161
26,161,LUT,SLICE_X26Y161
27,161,LUT,SLICE_X27Y161
30,161,LUT,SLICE_X30Y161
32,161,LUT,SLICE_X32Y161
33,161,LUT,SLICE_X33Y161
35,161,LUT,SLICE_X35Y161
36,161,LUT,SLICE_X36Y161
38,161,LUT,SLICE_X38Y161
41,161,LUT,SLICE_X41Y161
44,161,LUT,SLICE_X44Y161
46,161,LUT,SLICE_X46Y161
47,161,LUT,SLICE_X47Y161
0,160,LUT,SLICE_X0Y160
2,160,LUT,SLICE_X2Y160
3,160,LUT,SLICE_X3Y160
6,160,LUT,SLICE_X6Y160
7,160,LUT,SLICE_X7Y160
8,160,LUT,SLICE_X8Y160
10,160,LUT,SLICE_X10Y160
11,160,LUT,SLICE_X11Y160
12,160,LUT,SLICE_X12Y160
13,160,LUT,SLICE_X13Y160
15,160,LUT,SLICE_X15Y160
17,160,LUT,SLICE_X17Y160
18,160,LUT,SLICE_X18Y160
21,160,LUT,SLICE_X21Y160
22,160,LUT,SLICE_X22Y160
23,160,LUT,SLICE_X23Y160
25,160,LUT,SLICE_X25Y160
26,160,LUT,SLICE_X26Y160
27,160,LUT,SLICE_X27Y160
30,160,LUT,SLICE_X30Y160
32,160,LUT,SLICE_X32Y160
33,160,LUT,SLICE_X33Y160
35,160,LUT,SLICE_X35Y160
36,160,LUT,SLICE_X36Y160
38,160,LUT,SLICE_X38Y160
41,160,LUT,SLICE_X41Y160
44,160,LUT,SLICE_X44Y160
46,160,LUT,SLICE_X46Y160
47,160,LUT,SLICE_X47Y160
0,159,LUT,SLICE_X0Y159
2,159,LUT,SLICE_X2Y159
3,159,LUT,SLICE_X3Y159
6,159,LUT,SLICE_X6Y159
7,159,LUT,SLICE_X7Y159
8,159,LUT,SLICE_X8Y159
10,159,LUT,SLICE_X10Y159
11,159,LUT,SLICE_X11Y159
12,159,LUT,SLICE_X12Y159
13,159,LUT,SLICE_X13Y159
15,159,LUT,SLICE_X15Y159
17,159,LUT,SLICE_X17Y159
18,159,LUT,SLICE_X18Y159
21,159,LUT,SLICE_X21Y159
22,159,LUT,SLICE_X22Y159
23,159,LUT,SLICE_X23Y159
25,159,LUT,SLICE_X25Y159
26,159,LUT,SLICE_X26Y159
27,159,LUT,SLICE_X27Y159
30,159,LUT,SLICE_X30Y159
32,159,LUT,SLICE_X32Y159
33,159,LUT,SLICE_X33Y159
35,159,LUT,SLICE_X35Y159
36,159,LUT,SLICE_X36Y159
38,159,LUT,SLICE_X38Y159
41,159,LUT,SLICE_X41Y159
44,159,LUT,SLICE_X44Y159
46,159,LUT,SLICE_X46Y159
47,159,LUT,SLICE_X47Y159
0,158,LUT,SLICE_X0Y158
2,158,LUT,SLICE_X2Y158
3,158,LUT,SLICE_X3Y158
6,158,LUT,SLICE_X6Y158
7,158,LUT,SLICE_X7Y158
8,158,LUT,SLICE_X8Y158
10,158,LUT,SLICE_X10Y158
11,158,LUT,SLICE_X11Y158
12,158,LUT,SLICE_X12Y158
13,158,LUT,SLICE_X13Y158
15,158,LUT,SLICE_X15Y158
17,158,LUT,SLICE_X17Y158
18,158,LUT,SLICE_X18Y158
21,158,LUT,SLICE_X21Y158
22,158,LUT,SLICE_X22Y158
23,158,LUT,SLICE_X23Y158
25,158,LUT,SLICE_X25Y158
